,Drain Voltage,Drain Current,Drain Time
"1,1",-6.00E-01,-2.63E-03,09.999990
"1,2",-6.00E-01,-2.63E-03,10.000010
"1,3",-6.00E-01,-2.63E-03,10.000030
"1,4",-6.00E-01,-2.63E-03,10.000050
"1,5",-6.00E-01,-2.63E-03,10.000070
"1,6",-6.00E-01,-2.63E-03,10.000090
"1,7",-6.00E-01,-2.63E-03,10.000110
"1,8",-6.00E-01,-2.63E-03,10.000130
"1,9",-6.00E-01,-2.63E-03,10.000150
"1,10",-6.00E-01,-2.63E-03,10.000170
"1,11",-6.00E-01,-2.63E-03,10.000190
"1,12",-6.00E-01,-2.63E-03,10.000210
"1,13",-6.00E-01,-2.63E-03,10.000230
"1,14",-6.00E-01,-2.63E-03,10.000250
"1,15",-6.00E-01,-2.63E-03,10.000270
"1,16",-6.00E-01,-2.63E-03,10.000290
"1,17",-6.00E-01,-2.63E-03,10.000310
"1,18",-6.00E-01,-2.63E-03,10.000330
"1,19",-6.00E-01,-2.63E-03,10.000350
"1,20",-6.00E-01,-2.63E-03,10.000370
"1,21",-6.00E-01,-2.63E-03,10.000390
"1,22",-6.00E-01,-2.63E-03,10.000410
"1,23",-6.00E-01,-2.63E-03,10.000430
"1,24",-6.00E-01,-2.63E-03,10.000450
"1,25",-6.00E-01,-2.63E-03,10.000470
"1,26",-6.00E-01,-2.63E-03,10.000490
"1,27",-6.00E-01,-2.63E-03,10.000510
"1,28",-6.00E-01,-2.63E-03,10.000530
"1,29",-6.00E-01,-2.63E-03,10.000550
"1,30",-6.00E-01,-2.63E-03,10.000570
"1,31",-6.00E-01,-2.63E-03,10.000590
"1,32",-6.00E-01,-2.63E-03,10.000610
"1,33",-6.00E-01,-2.63E-03,10.000630
"1,34",-6.00E-01,-2.63E-03,10.000650
"1,35",-6.00E-01,-2.63E-03,10.000670
"1,36",-6.00E-01,-2.63E-03,10.000690
"1,37",-6.00E-01,-2.63E-03,10.000710
"1,38",-6.00E-01,-2.63E-03,10.000730
"1,39",-6.00E-01,-2.63E-03,10.000750
"1,40",-6.00E-01,-2.63E-03,10.000770
"1,41",-6.00E-01,-2.63E-03,10.000790
