,Gate Voltage,Drain Voltage,Drain Current
"1,1,1",-2.00E-01,6.00E-01,9.50E-03
"1,1,2",-2.00E-01,5.95E-01,9.42E-03
"1,1,3",-2.00E-01,5.90E-01,9.33E-03
"1,1,4",-2.00E-01,5.86E-01,9.25E-03
"1,1,5",-2.00E-01,5.81E-01,9.17E-03
"1,1,6",-2.00E-01,5.76E-01,9.09E-03
"1,1,7",-2.00E-01,5.71E-01,9.00E-03
"1,1,8",-2.00E-01,5.66E-01,8.92E-03
"1,1,9",-2.00E-01,5.62E-01,8.83E-03
"1,1,10",-2.00E-01,5.57E-01,8.75E-03
"1,1,11",-2.00E-01,5.52E-01,8.67E-03
"1,1,12",-2.00E-01,5.47E-01,8.59E-03
"1,1,13",-2.00E-01,5.42E-01,8.51E-03
"1,1,14",-2.00E-01,5.38E-01,8.43E-03
"1,1,15",-2.00E-01,5.33E-01,8.34E-03
"1,1,16",-2.00E-01,5.28E-01,8.26E-03
"1,1,17",-2.00E-01,5.23E-01,8.18E-03
"1,1,18",-2.00E-01,5.18E-01,8.10E-03
"1,1,19",-2.00E-01,5.14E-01,8.02E-03
"1,1,20",-2.00E-01,5.09E-01,7.94E-03
"1,1,21",-2.00E-01,5.04E-01,7.86E-03
"1,1,22",-2.00E-01,4.99E-01,7.78E-03
"1,1,23",-2.00E-01,4.94E-01,7.70E-03
"1,1,24",-2.00E-01,4.90E-01,7.62E-03
"1,1,25",-2.00E-01,4.85E-01,7.53E-03
"1,1,26",-2.00E-01,4.80E-01,7.45E-03
"1,1,27",-2.00E-01,4.75E-01,7.37E-03
"1,1,28",-2.00E-01,4.70E-01,7.29E-03
"1,1,29",-2.00E-01,4.66E-01,7.21E-03
"1,1,30",-2.00E-01,4.61E-01,7.13E-03
"1,1,31",-2.00E-01,4.56E-01,7.06E-03
"1,1,32",-2.00E-01,4.51E-01,6.98E-03
"1,1,33",-2.00E-01,4.46E-01,6.90E-03
"1,1,34",-2.00E-01,4.42E-01,6.82E-03
"1,1,35",-2.00E-01,4.37E-01,6.74E-03
"1,1,36",-2.00E-01,4.32E-01,6.66E-03
"1,1,37",-2.00E-01,4.27E-01,6.58E-03
"1,1,38",-2.00E-01,4.22E-01,6.50E-03
"1,1,39",-2.00E-01,4.18E-01,6.42E-03
"1,1,40",-2.00E-01,4.13E-01,6.34E-03
"1,1,41",-2.00E-01,4.08E-01,6.26E-03
"1,1,42",-2.00E-01,4.03E-01,6.18E-03
"1,1,43",-2.00E-01,3.98E-01,6.11E-03
"1,1,44",-2.00E-01,3.94E-01,6.03E-03
"1,1,45",-2.00E-01,3.89E-01,5.95E-03
"1,1,46",-2.00E-01,3.84E-01,5.87E-03
"1,1,47",-2.00E-01,3.79E-01,5.79E-03
"1,1,48",-2.00E-01,3.74E-01,5.72E-03
"1,1,49",-2.00E-01,3.70E-01,5.64E-03
"1,1,50",-2.00E-01,3.65E-01,5.56E-03
"1,1,51",-2.00E-01,3.60E-01,5.48E-03
"1,1,52",-2.00E-01,3.55E-01,5.41E-03
"1,1,53",-2.00E-01,3.50E-01,5.33E-03
"1,1,54",-2.00E-01,3.46E-01,5.25E-03
"1,1,55",-2.00E-01,3.41E-01,5.17E-03
"1,1,56",-2.00E-01,3.36E-01,5.10E-03
"1,1,57",-2.00E-01,3.31E-01,5.02E-03
"1,1,58",-2.00E-01,3.26E-01,4.94E-03
"1,1,59",-2.00E-01,3.22E-01,4.86E-03
"1,1,60",-2.00E-01,3.17E-01,4.79E-03
"1,1,61",-2.00E-01,3.12E-01,4.71E-03
"1,1,62",-2.00E-01,3.07E-01,4.63E-03
"1,1,63",-2.00E-01,3.02E-01,4.56E-03
"1,1,64",-2.00E-01,2.98E-01,4.48E-03
"1,1,65",-2.00E-01,2.93E-01,4.41E-03
"1,1,66",-2.00E-01,2.88E-01,4.33E-03
"1,1,67",-2.00E-01,2.83E-01,4.25E-03
"1,1,68",-2.00E-01,2.78E-01,4.18E-03
"1,1,69",-2.00E-01,2.74E-01,4.10E-03
"1,1,70",-2.00E-01,2.69E-01,4.03E-03
"1,1,71",-2.00E-01,2.64E-01,3.95E-03
"1,1,72",-2.00E-01,2.59E-01,3.88E-03
"1,1,73",-2.00E-01,2.54E-01,3.80E-03
"1,1,74",-2.00E-01,2.50E-01,3.72E-03
"1,1,75",-2.00E-01,2.45E-01,3.65E-03
"1,1,76",-2.00E-01,2.40E-01,3.57E-03
"1,1,77",-2.00E-01,2.35E-01,3.50E-03
"1,1,78",-2.00E-01,2.30E-01,3.42E-03
"1,1,79",-2.00E-01,2.26E-01,3.35E-03
"1,1,80",-2.00E-01,2.21E-01,3.28E-03
"1,1,81",-2.00E-01,2.16E-01,3.20E-03
"1,1,82",-2.00E-01,2.11E-01,3.12E-03
"1,1,83",-2.00E-01,2.06E-01,3.05E-03
"1,1,84",-2.00E-01,2.02E-01,2.98E-03
"1,1,85",-2.00E-01,1.97E-01,2.90E-03
"1,1,86",-2.00E-01,1.92E-01,2.83E-03
"1,1,87",-2.00E-01,1.87E-01,2.76E-03
"1,1,88",-2.00E-01,1.82E-01,2.68E-03
"1,1,89",-2.00E-01,1.78E-01,2.61E-03
"1,1,90",-2.00E-01,1.73E-01,2.54E-03
"1,1,91",-2.00E-01,1.68E-01,2.46E-03
"1,1,92",-2.00E-01,1.63E-01,2.39E-03
"1,1,93",-2.00E-01,1.58E-01,2.32E-03
"1,1,94",-2.00E-01,1.54E-01,2.24E-03
"1,1,95",-2.00E-01,1.49E-01,2.17E-03
"1,1,96",-2.00E-01,1.44E-01,2.10E-03
"1,1,97",-2.00E-01,1.39E-01,2.03E-03
"1,1,98",-2.00E-01,1.34E-01,1.95E-03
"1,1,99",-2.00E-01,1.30E-01,1.88E-03
"1,1,100",-2.00E-01,1.25E-01,1.81E-03
"1,1,101",-2.00E-01,1.20E-01,1.74E-03
"1,1,102",-2.00E-01,1.15E-01,1.67E-03
"1,1,103",-2.00E-01,1.10E-01,1.60E-03
"1,1,104",-2.00E-01,1.06E-01,1.52E-03
"1,1,105",-2.00E-01,1.01E-01,1.45E-03
"1,1,106",-2.00E-01,9.60E-02,1.38E-03
"1,1,107",-2.00E-01,9.12E-02,1.31E-03
"1,1,108",-2.00E-01,8.64E-02,1.24E-03
"1,1,109",-2.00E-01,8.16E-02,1.17E-03
"1,1,110",-2.00E-01,7.68E-02,1.10E-03
"1,1,111",-2.00E-01,7.20E-02,1.03E-03
"1,1,112",-2.00E-01,6.72E-02,9.60E-04
"1,1,113",-2.00E-01,6.24E-02,8.90E-04
"1,1,114",-2.00E-01,5.76E-02,8.20E-04
"1,1,115",-2.00E-01,5.28E-02,7.51E-04
"1,1,116",-2.00E-01,4.80E-02,6.82E-04
"1,1,117",-2.00E-01,4.32E-02,6.12E-04
"1,1,118",-2.00E-01,3.84E-02,5.44E-04
"1,1,119",-2.00E-01,3.36E-02,4.75E-04
"1,1,120",-2.00E-01,2.88E-02,4.06E-04
"1,1,121",-2.00E-01,2.40E-02,3.38E-04
"1,1,122",-2.00E-01,1.92E-02,2.70E-04
"1,1,123",-2.00E-01,1.44E-02,2.02E-04
"1,1,124",-2.00E-01,9.60E-03,1.35E-04
"1,1,125",-2.00E-01,3.97E-03,5.56E-05
"1,1,126",-2.00E-01,4.31E-04,6.00E-06
"1,1,127",-2.00E-01,-4.09E-03,-5.68E-05
"1,1,128",-2.00E-01,-9.60E-03,-1.33E-04
"1,1,129",-2.00E-01,-1.44E-02,-2.00E-04
"1,1,130",-2.00E-01,-1.92E-02,-2.67E-04
"1,1,131",-2.00E-01,-2.40E-02,-3.33E-04
"1,1,132",-2.00E-01,-2.88E-02,-3.99E-04
"1,1,133",-2.00E-01,-3.36E-02,-4.65E-04
"1,1,134",-2.00E-01,-3.84E-02,-5.30E-04
