,Gate Voltage,Gate Current,Drain Voltage,Drain Current,Drain Time
"1,1,1",-6.00E-01,1.00E-06,-6.00E-01,-8.23E-03,2.99E-02
"1,1,2",-5.95E-01,3.02E-06,-6.00E-01,-8.22E-03,3.64E-02
"1,1,3",-5.90E-01,4.41E-06,-6.00E-01,-8.20E-03,4.23E-02
"1,1,4",-5.86E-01,5.37E-06,-6.00E-01,-8.18E-03,4.81E-02
"1,1,5",-5.81E-01,6.13E-06,-6.00E-01,-8.16E-03,5.40E-02
"1,1,6",-5.76E-01,6.62E-06,-6.00E-01,-8.14E-03,6.00E-02
"1,1,7",-5.71E-01,3.85E-06,-6.00E-01,-8.11E-03,8.19E-02
"1,1,8",-5.66E-01,5.58E-06,-6.00E-01,-8.09E-03,8.78E-02
"1,1,9",-5.62E-01,6.48E-06,-6.00E-01,-8.07E-03,9.36E-02
"1,1,10",-5.57E-01,4.66E-06,-6.00E-01,-8.04E-03,1.10E-01
"1,1,11",-5.52E-01,5.69E-06,-6.00E-01,-8.01E-03,1.17E-01
"1,1,12",-5.47E-01,3.94E-06,-6.00E-01,-7.98E-03,1.37E-01
"1,1,13",-5.42E-01,5.67E-06,-6.00E-01,-7.96E-03,1.43E-01
"1,1,14",-5.38E-01,6.60E-06,-6.00E-01,-7.94E-03,1.49E-01
"1,1,15",-5.33E-01,4.78E-06,-6.00E-01,-7.91E-03,1.64E-01
"1,1,16",-5.28E-01,5.86E-06,-6.00E-01,-7.89E-03,1.72E-01
"1,1,17",-5.23E-01,6.25E-06,-6.00E-01,-7.86E-03,1.79E-01
"1,1,18",-5.18E-01,4.79E-06,-6.00E-01,-7.83E-03,1.95E-01
"1,1,19",-5.14E-01,6.27E-06,-6.00E-01,-7.81E-03,2.01E-01
"1,1,20",-5.09E-01,4.29E-06,-6.00E-01,-7.77E-03,2.21E-01
"1,1,21",-5.04E-01,5.96E-06,-6.00E-01,-7.75E-03,2.27E-01
"1,1,22",-4.99E-01,6.21E-06,-6.00E-01,-7.72E-03,2.34E-01
"1,1,23",-4.94E-01,7.16E-06,-6.00E-01,-7.69E-03,2.40E-01
"1,1,24",-4.90E-01,5.01E-06,-6.00E-01,-7.66E-03,2.58E-01
"1,1,25",-4.85E-01,6.43E-06,-6.00E-01,-7.63E-03,2.64E-01
"1,1,26",-4.80E-01,7.30E-06,-6.00E-01,-7.60E-03,2.70E-01
"1,1,27",-4.75E-01,5.18E-06,-6.00E-01,-7.56E-03,2.87E-01
"1,1,28",-4.70E-01,6.06E-06,-6.00E-01,-7.54E-03,2.95E-01
"1,1,29",-4.66E-01,7.05E-06,-6.00E-01,-7.51E-03,3.01E-01
